ATTRLABL,ATTRDEF,ATTRDEFS,UDOM,EDOMV,EDOMVD,EDOMVDS,CODESETN,CODESETS,RDOMMIN,RDOMMAX,ATTRUNIT,
,,,,Southwestern Division,Southwestern Division,USACE,,,,,,
,,,,None,None,USACE,,,,,,
usaceDistrict,United States Army Corps of Engineers District the dam is located.,USACE,,Alaska District,Alaska District,USACE,,,,,,
,,,,Albuquerque District,Albuquerque District,USACE,,,,,,
,,,,Baltimore District,Baltimore District,USACE,,,,,,
,,,,Buffalo District,Buffalo District,USACE,,,,,,
,,,,Charleston District,Charleston District,USACE,,,,,,
,,,,Chicago District,Chicago District,USACE,,,,,,
,,,,Detroit District,Detroit District,USACE,,,,,,
,,,,Engineer Research and Development Center,Engineer Research and Development Center (ERDC),USACE,,,,,,
,,,,Fort Worth District,Fort Worth District,USACE,,,,,,
,,,,Galveston District,Galveston District,USACE,,,,,,
,,,,Honolulu District,Honolulu District,USACE,,,,,,
,,,,Huntington District,Huntington District,USACE,,,,,,
,,,,Jacksonville District,Jacksonville District,USACE,,,,,,
,,,,Kansas City District,Kansas City District,USACE,,,,,,
,,,,Little Rock District,Little Rock District,USACE,,,,,,
,,,,Los Angeles District,Los Angeles District,USACE,,,,,,
,,,,Louisville District,Louisville District,USACE,,,,,,
,,,,Memphis District,Memphis District,USACE,,,,,,
,,,,Mobile District,Mobile District,USACE,,,,,,
,,,,Nashville District,Nashville District,USACE,,,,,,
,,,,New England District,New England District,USACE,,,,,,
,,,,New Orleans District,New Orleans District,USACE,,,,,,
,,,,New York District,New York District,USACE,,,,,,
,,,,Norfolk District,Norfolk District,USACE,,,,,,
,,,,Omaha District,Omaha District,USACE,,,,,,
,,,,Philadelphia District,Philadelphia District,USACE,,,,,,
,,,,Pittsburgh District,Pittsburgh District,USACE,,,,,,
,,,,Portland District,Portland District,USACE,,,,,,
,,,,Rock Island District,Rock Island District,USACE,,,,,,
,,,,Sacramento District,Sacramento District,USACE,,,,,,
,,,,San Francisco District,San Francisco District,USACE,,,,,,
,,,,Savannah District,Savvanah District,USACE,,,,,,
,,,,Seattle District,Seattle District,USACE,,,,,,
,,,,St. Louis District,St. Louis District,USACE,,,,,,
,,,,St. Paul District,St. Paul District,USACE,,,,,,
,,,,Tulsa District,Tulsa District,USACE,,,,,,
,,,,Vicksburg District,Vicksburg District,USACE,,,,,,
,,,,Walla Walla District,Walla Walla District,USACE,,,,,,
,,,,Wilmington District,Wilmington District,USACE,,,,,,
,,,,None,Not specified,USACE,,,,,,
operationalStatusId,Category that best describes the operational or remediation activities of the dam based on available information.,USACE,,1,Normal Operations,USACE,,,,,,
,,,,2,"Under Investigation, Planning, Permitting, or Design for Remediation",USACE,,,,,,
,,,,3,Under Remediation,USACE,,,,,,
,,,,4,Enforcement Pending/Ongoing,USACE,,,,,,
,,,,5,Not Applicable,USACE,,,,,,
,,,,None,Operational status not specified,USACE,,,,,,
operationalStatusDate,Date of the most recent operational status assessment of the dam prior to the NID data transmittal by the submitting agency.,USACE,"Datetime formatted MM/DD/YYYY, HH:MM AM/PM",,,,,,,,,
lastEapExcerDate,"Date of the most recent exercise of the Emergency Action Plan with the dam owner and local stakeholders. An EAP exercise is a coordinated practice by local/state/federal emergency responders to discuss roles and response during an emergency, usually in a classroom setting and guided by a facilitator.",USACE,"Datetime formatted MM/DD/YYYY, HH:MM AM/PM",,,,,,,,,
privateDamId,Code to indicate whether a dam is a private dam.,USACE,,0,Yes,USACE,,,,,,
,,,,1,No,USACE,,,,,,
,,,,None,Not Specified,USACE,,,,,,
politicalPartyId,Code for political party that currently holds the Congressional District seat the dam is located.,USACE,,None,None,USACE,,,,,,
huc2,Hydrologic Unit Code (HUC) 2-digit region,USGS,,,,,Hydrologic Unit Codes (HUC),U.S. Geological Survey (USGS),,,,
huc4,Hydrologic Unit Code (HUC) 4-digit subregion,USGS,,,,,Hydrologic Unit Codes (HUC),U.S. Geological Survey (USGS),,,,
huc6,Hydrologic Unit Code (HUC) 6-digit basin,USGS,,,,,Hydrologic Unit Codes (HUC),U.S. Geological Survey (USGS),,,,
huc8,Hydrologic Unit Code (HUC) 8-digit subbasin,USGS,,,,,Hydrologic Unit Codes (HUC),U.S. Geological Survey (USGS),,,,
zipcode,Post Office Zip Codes,USPS,,,,,Publication 28- Postal Addressing Standards,U.S. Postal Service (USPS),,,,
nation,Code for country where dam is located.,USACE,,USA,United States of America,USACE,,,,,,
stateKey,Two-letter abbreviation of the state where dam is located.,USPS,,,,,Official U.S. State Abbreviations,U.S. Postal Service (USPS),,,,
femaRegion,Federal Emergency Management Agency (FEMA) Region where dam is located.,FEMA,,1,Region 1,FEMA,,,,,,
,,,,2,Region 2,FEMA,,,,,,
,,,,3,Region 3,FEMA,,,,,,
,,,,4,Region 4,FEMA,,,,,,
,,,,5,Region 5,FEMA,,,,,,
,,,,6,Region 6,FEMA,,,,,,
,,,,7,Region 7,FEMA,,,,,,
,,,,8,Region 8,FEMA,,,,,,
,,,,9,Region 9,FEMA,,,,,,
,,,,10,Region 10,FEMA,,,,,,
,,,,None,None,FEMA,,,,,,
femaCommunity,Name of community participant in the National Flood Insurance Program (NFIP) local to the dam.,FEMA,,,,,Community Status Book,Federal Emergency Management Agency (FEMA),,,,
aiannh,"Name of recognized American Indian, Alaska Native, or Native Hawaiian community areas where applicable.",USCB,,,,,Federally Recognized Tribes of the United States,U.S. Census Bureau,,,,
